centre	context
Many	a career
a	Many career in
career	Many a in the
in	a career the Bureau
the	career in Bureau had
Bureau	in the had been
had	the Bureau been quietly
been	Bureau had quietly manipulated
quietly	had been manipulated by
manipulated	been quietly by her
by	quietly manipulated her .
her	manipulated by .
.	by her
In	2002 a
2002	In a dig
a	In 2002 dig for
dig	2002 a for the
for	a dig the Channel
the	dig for Channel 4
Channel	for the 4 series
4	the Channel series Time
series	Channel 4 Time Team
Time	4 series Team unearthed
Team	series Time unearthed a
unearthed	Time Team a series
a	Team unearthed series of
series	unearthed a of timbers
of	a series timbers driven
timbers	series of driven vertically
driven	of timbers vertically into
vertically	timbers driven into the
into	driven vertically the ground
the	vertically into ground on
ground	into the on the
on	the ground the south
the	ground on south bank
south	on the bank of
bank	the south of the
of	south bank the Thames
the	bank of Thames next
Thames	of the next to
next	the Thames to the
to	Thames next the SIS
the	next to SIS Building
SIS	to the Building in
Building	the SIS in Vauxhall
in	SIS Building Vauxhall which
Vauxhall	Building in which suggests
which	in Vauxhall suggests the
suggests	Vauxhall which the presence
the	which suggests presence of
presence	suggests the of a
of	the presence a bridge
a	presence of bridge or
bridge	of a or jetty
or	a bridge jetty 3,000
jetty	bridge or 3,000 years
3,000	or jetty years ago
years	jetty 3,000 ago .
ago	3,000 years .
.	years ago
Under	James I
James	Under I the
I	Under James the theatre
the	James I theatre ,
theatre	I the , which
,	the theatre which established
which	theatre , established itself
established	, which itself so
itself	which established so firmly
so	established itself firmly in
firmly	itself so in the
in	so firmly the latter
the	firmly in latter years
latter	in the years of
years	the latter of Elizabeth
of	latter years Elizabeth ,
Elizabeth	years of , grew
,	of Elizabeth grew further
grew	Elizabeth , further in
further	, grew in popularity
in	grew further popularity .
popularity	further in .
.	in popularity
A	different approach
different	A approach to
approach	A different to celestial
to	different approach celestial phenomena
celestial	approach to phenomena was
phenomena	to celestial was taken
was	celestial phenomena taken by
taken	phenomena was by natural
by	was taken natural philosophers
natural	taken by philosophers such
philosophers	by natural such as
such	natural philosophers as Plato
as	philosophers such Plato and
Plato	such as and Aristotle
and	as Plato Aristotle .
Aristotle	Plato and .
.	and Aristotle
The	Haber process
Haber	The process ,
process	The Haber , also
,	Haber process also called
also	process , called the
called	, also the Haber
the	also called Haber –
Haber	called the – Bosch
–	the Haber Bosch process
Bosch	Haber – process ,
process	– Bosch , is
,	Bosch process is the
is	process , the industrial
the	, is industrial implementation
industrial	is the implementation of
implementation	the industrial of the
of	industrial implementation the reaction
the	implementation of reaction of
reaction	of the of nitrogen
of	the reaction nitrogen gas
nitrogen	reaction of gas and
gas	of nitrogen and hydrogen
and	nitrogen gas hydrogen gas
hydrogen	gas and gas .
gas	and hydrogen .
.	hydrogen gas
It	is the
is	It the main
the	It is main industrial
main	is the industrial route
industrial	the main route to
route	main industrial to ammonia
to	industrial route ammonia :
ammonia	route to : Nitrogen
:	to ammonia Nitrogen is
Nitrogen	ammonia : is a
is	: Nitrogen a critical
a	Nitrogen is critical limiting
critical	is a limiting mineral
limiting	a critical mineral nutrient
mineral	critical limiting nutrient in
nutrient	limiting mineral in plant
in	mineral nutrient plant growth
plant	nutrient in growth .
growth	in plant .
.	plant growth
Several	more appearances
more	Several appearances followed
appearances	Several more followed in
followed	more appearances in her
in	appearances followed her subsequent
her	followed in subsequent plays
subsequent	in her plays .
plays	her subsequent .
.	subsequent plays
Though	he submitted
he	Though submitted to
submitted	Though he to Jack
to	he submitted Jack Warner
Jack	submitted to Warner on
Warner	to Jack on that
on	Jack Warner that picture
that	Warner on picture ,
picture	on that , he
,	that picture he successfully
he	picture , successfully turned
successfully	, he turned down
turned	he successfully down God
down	successfully turned God is
God	turned down is My
is	down God My Co-Pilot
My	God is Co-Pilot (
Co-Pilot	is My ( 1945
(	My Co-Pilot 1945 )
1945	Co-Pilot ( ) .
)	( 1945 .
.	1945 )
Santana	made two
made	Santana two other
two	Santana made other films
other	made two films without
films	two other without him
without	other films him :
him	films without : And
:	without him And Baby
And	him : Baby Makes
Baby	: And Makes Three
Makes	And Baby Three (
Three	Baby Makes ( 1949
(	Makes Three 1949 )
1949	Three ( ) and
)	( 1949 and The
and	1949 ) The Family
The	) and Family Secret
Family	and The Secret (
Secret	The Family ( 1951
(	Family Secret 1951 )
1951	Secret ( ) .
)	( 1951 .
.	1951 )
Bogart	performed radio
performed	Bogart radio adaptations
radio	Bogart performed adaptations of
adaptations	performed radio of some
of	radio adaptations some of
some	adaptations of of his
of	of some his best
his	some of best known
best	of his known films
known	his best films ,
films	best known , such
,	known films such as
such	films , as Casablanca
as	, such Casablanca and
Casablanca	such as and The
and	as Casablanca The Maltese
The	Casablanca and Maltese Falcon
Maltese	and The Falcon .
Falcon	The Maltese .
.	Maltese Falcon
The	collection of
collection	The of such
of	The collection such hyperbolas
such	collection of hyperbolas for
hyperbolas	of such for a
for	such hyperbolas a whole
a	hyperbolas for whole year
whole	for a year at
year	a whole at a
at	whole year a given
a	year at given location
given	at a location was
location	a given was called
was	given location called a
called	location was a pelekinon
a	was called pelekinon by
pelekinon	called a by the
by	a pelekinon the Greeks
the	pelekinon by Greeks ,
Greeks	by the , since
,	the Greeks since it
since	Greeks , it resembles
it	, since resembles a
resembles	since it a double-bladed
a	it resembles double-bladed axe
double-bladed	resembles a axe .
axe	a double-bladed .
.	double-bladed axe
Howard	Robard Hughes
Robard	Howard Hughes ,
Hughes	Howard Robard , Jr.
,	Robard Hughes Jr. .
Jr.	Hughes , .
.	, Jr.
(	December 24
December	( 24 ,
24	( December , 1905
,	December 24 1905 –
1905	24 , – April
–	, 1905 April 5
April	1905 – 5 ,
5	– April , 1976
,	April 5 1976 )
1976	5 , ) was
)	, 1976 was an
was	1976 ) an American
an	) was American business
American	was an business magnate
business	an American magnate ,
magnate	American business , investor
,	business magnate investor ,
investor	magnate , , aviator
,	, investor aviator ,
aviator	investor , , aerospace
,	, aviator aerospace engineer
aerospace	aviator , engineer ,
engineer	, aerospace , film
,	aerospace engineer film maker
film	engineer , maker and
maker	, film and philanthropist
and	film maker philanthropist .
philanthropist	maker and .
.	and philanthropist
Bessie	Love was
Love	Bessie was a
was	Bessie Love a mistress
a	Love was mistress during
mistress	was a during his
during	a mistress his first
his	mistress during first marriage
first	during his marriage .
marriage	his first .
.	first marriage
There	is little
is	There little documentation
little	There is documentation about
documentation	is little about John
about	little documentation John after
John	documentation about after his
after	about John his wife
his	John after wife 's
wife	after his 's death
's	his wife death .
death	wife 's .
.	's death
In	his Essay
his	In Essay Upon
Essay	In his Upon Several
Upon	his Essay Several Subjects
Several	Essay Upon Subjects Concerning
Subjects	Upon Several Concerning British
Concerning	Several Subjects British Antiquities
British	Subjects Concerning Antiquities ,
Antiquities	Concerning British , written
,	British Antiquities written just
written	Antiquities , just after
just	, written after the
after	written just the Jacobite
the	just after Jacobite rising
Jacobite	after the rising of
rising	the Jacobite of 1745
of	Jacobite rising 1745 he
1745	rising of he described
he	of 1745 described how
described	1745 he how the
how	he described the politics
the	described how politics of
politics	how the of Scotland
of	the politics Scotland were
Scotland	politics of were not
were	of Scotland not based
not	Scotland were based on
based	were not on loyalty
on	not based loyalty to
loyalty	based on to Kings
to	on loyalty Kings or
Kings	loyalty to or Queens
or	to Kings Queens as
Queens	Kings or as Jacobites
as	or Queens Jacobites had
Jacobites	Queens as had said
had	as Jacobites said but
said	Jacobites had but on
but	had said on royal
on	said but royal land
royal	but on land grants
land	on royal grants given
grants	royal land given in
given	land grants in return
in	grants given return for
return	given in for loyalty
for	in return loyalty .
loyalty	return for .
.	for loyalty
At	the official
the	At official level
official	At the level ,
level	the official , Catholicism
,	official level Catholicism ’s
Catholicism	level , ’s commitment
’s	, Catholicism commitment to
commitment	Catholicism ’s to “
to	’s commitment “ Humanae
“	commitment to Humanae Vitae
Humanae	to “ Vitae ”
Vitae	“ Humanae ” is
”	Humanae Vitae is more
is	Vitae ” more stable
more	” is stable than
stable	is more than ever
than	more stable ever .
ever	stable than .
.	than ever
The	Japanese Wikipedia
Japanese	The Wikipedia ,
Wikipedia	The Japanese , started
,	Japanese Wikipedia started as
started	Wikipedia , as nihongo.wikipedia.com
as	, started nihongo.wikipedia.com ,
nihongo.wikipedia.com	started as , was
,	as nihongo.wikipedia.com was created
was	nihongo.wikipedia.com , created around
created	, was around that
around	was created that period
that	created around period ,
period	around that , and
,	that period and initially
and	period , initially used
initially	, and used only
used	and initially only Romanized
only	initially used Romanized Japanese
Romanized	used only Japanese .
Japanese	only Romanized .
.	Romanized Japanese
One	of the
of	One the earliest
the	One of earliest formal
earliest	of the formal registries
formal	the earliest registries was
registries	earliest formal was General
was	formal registries General Stud
General	registries was Stud Book
Stud	was General Book for
Book	General Stud for Thoroughbreds
for	Stud Book Thoroughbreds ,
Thoroughbreds	Book for , which
,	for Thoroughbreds which began
which	Thoroughbreds , began in
began	, which in 1791
in	which began 1791 and
1791	began in and traced
and	in 1791 traced back
traced	1791 and back to
back	and traced to the
to	traced back the Arabian
the	back to Arabian stallions
Arabian	to the stallions imported
stallions	the Arabian imported to
imported	Arabian stallions to England
to	stallions imported England from
England	imported to from the
from	to England the Middle
the	England from Middle East
Middle	from the East that
East	the Middle that became
that	Middle East became the
became	East that the foundation
the	that became foundation stallions
foundation	became the stallions for
stallions	the foundation for the
for	foundation stallions the breed
the	stallions for breed .
breed	for the .
.	the breed
Horses	with the
with	Horses the same
the	Horses with same sire
same	with the sire but
sire	the same but different
but	same sire different dams
different	sire but dams are
dams	but different are simply
are	different dams simply said
simply	dams are said to
said	are simply to be
to	"simply said be """
be	"said to "" by"
""""	to be by the
by	"be "" the same"
the	""" by same sire"
same	"by the sire """
sire	"the same "" ,"
""""	same sire , and
,	"sire "" and no"
and	""" , no sibling"
no	, and sibling relationship
sibling	and no relationship is
relationship	no sibling is implied
is	sibling relationship implied .
implied	"relationship is . """
.	"is implied """
""""	implied .
Effects	on the
on	Effects the reproductive
the	Effects on reproductive system
reproductive	on the system during
system	the reproductive during the
during	reproductive system the estrous
the	system during estrous cycle
estrous	during the cycle Changes
cycle	the estrous Changes in
Changes	estrous cycle in hormone
in	cycle Changes hormone levels
hormone	Changes in levels can
levels	in hormone can have
can	hormone levels have great
have	levels can great effects
great	can have effects on
effects	have great on the
on	great effects the physical
the	effects on physical characteristics
physical	on the characteristics of
characteristics	the physical of the
of	physical characteristics the reproductive
the	characteristics of reproductive organs
reproductive	of the organs of
organs	the reproductive of the
of	reproductive organs the mare
the	organs of mare ,
mare	of the , thereby
,	the mare thereby preparing
thereby	mare , preparing ,
preparing	, thereby , or
,	thereby preparing or preventing
or	preparing , preventing ,
preventing	, or , her
,	or preventing her from
her	preventing , from conceiving
from	, her conceiving .
conceiving	her from .
.	from conceiving
The	CDPs in
CDPs	The in Harwich
in	The CDPs Harwich are
Harwich	CDPs in are Harwich
are	in Harwich Harwich Center
Harwich	Harwich are Center ,
Center	are Harwich , Harwich
,	Harwich Center Harwich Port
Harwich	Center , Port (
Port	, Harwich ( including
(	Harwich Port including South
including	Port ( South Harwich
South	( including Harwich )
Harwich	including South ) ,
)	South Harwich , East
,	Harwich ) East Harwich
East	) , Harwich and
Harwich	, East and Northwest
and	East Harwich Northwest Harwich
Northwest	Harwich and Harwich (
Harwich	and Northwest ( including
(	Northwest Harwich including West
including	Harwich ( West Harwich
West	( including Harwich ,
Harwich	including West , North
,	West Harwich North Harwich
North	Harwich , Harwich ,
Harwich	, North , and
,	North Harwich and Pleasant
and	Harwich , Pleasant Lake
Pleasant	, and Lake )
Lake	and Pleasant ) .
)	Pleasant Lake .
.	Lake )
Therapeutic	cloning involves
cloning	Therapeutic involves cloning
involves	Therapeutic cloning cloning cells
cloning	cloning involves cells from
cells	involves cloning from an
from	cloning cells an adult
an	cells from adult for
adult	from an for use
for	an adult use in
use	adult for in medicine
in	for use medicine and
medicine	use in and transplants
and	in medicine transplants ,
transplants	medicine and , and
,	and transplants and is
and	transplants , is an
is	, and an active
an	and is active area
active	is an area of
area	an active of research
of	active area research .
research	area of .
.	of research
There	, cultural
,	There cultural life
cultural	There , life flourished
life	, cultural flourished .
flourished	cultural life .
.	life flourished
Between	9000 and
9000	Between and 5000
and	Between 9000 5000 BCE
5000	9000 and BCE ,
BCE	and 5000 , Niger
,	5000 BCE Niger –
Niger	BCE , – Congo
–	, Niger Congo speakers
Congo	Niger – speakers domesticated
speakers	– Congo domesticated the
domesticated	Congo speakers the oil
the	speakers domesticated oil palm
oil	domesticated the palm and
palm	the oil and raffia
and	oil palm raffia palm
raffia	palm and palm .
palm	and raffia .
.	raffia palm
By	the 32nd
the	By 32nd century
32nd	By the century BCE
century	the 32nd BCE ,
BCE	32nd century , Ta-Seti
,	century BCE Ta-Seti was
Ta-Seti	BCE , was in
was	, Ta-Seti in decline
in	Ta-Seti was decline .
decline	was in .
.	in decline
Carthage	fought three
fought	Carthage three wars
three	Carthage fought wars with
wars	fought three with Rome
with	three wars Rome :
Rome	wars with : the
:	with Rome the First
the	Rome : First Punic
First	: the Punic War
Punic	the First War (
War	First Punic ( 264
(	Punic War 264 to
264	War ( to 241
to	( 264 241 BCE
241	264 to BCE )
BCE	to 241 ) ,
)	241 BCE , over
,	BCE ) over Sicily
over	) , Sicily ;
Sicily	, over ; the
;	over Sicily the Second
the	Sicily ; Second Punic
Second	; the Punic War
Punic	the Second War (
War	Second Punic ( 218
(	Punic War 218 to
218	War ( to 201
to	( 218 201 BCE
201	218 to BCE )
BCE	to 201 ) ,
)	201 BCE , in
,	BCE ) in which
in	) , which Hannibal
which	, in Hannibal invaded
Hannibal	in which invaded Europe
invaded	which Hannibal Europe ;
Europe	Hannibal invaded ; and
;	invaded Europe and the
and	Europe ; the Third
the	; and Third Punic
Third	and the Punic War
Punic	the Third War (
War	Third Punic ( 149
(	Punic War 149 to
149	War ( to 146
to	( 149 146 BCE
146	149 to BCE )
BCE	to 146 ) .
)	146 BCE .
.	BCE )
The	treaty controlled
treaty	The controlled relations
controlled	The treaty relations between
relations	treaty controlled between Christian
between	controlled relations Christian Nubia
Christian	relations between Nubia and
Nubia	between Christian and Islamic
and	Christian Nubia Islamic Egypt
Islamic	Nubia and Egypt for
Egypt	and Islamic for almost
for	Islamic Egypt almost six
almost	Egypt for six hundred
six	for almost hundred years
hundred	almost six years .
years	six hundred .
.	hundred years
Madagascar	functioned in
functioned	Madagascar in the
in	Madagascar functioned the East
the	functioned in East African
East	in the African medieval
African	the East medieval period
medieval	East African period as
period	African medieval as a
as	medieval period a contact
a	period as contact port
contact	as a port for
port	a contact for the
for	contact port the other
the	port for other Swahili
other	for the Swahili seaport
Swahili	the other seaport city-states
seaport	other Swahili city-states such
city-states	Swahili seaport such as
such	seaport city-states as Sofala
as	city-states such Sofala ,
Sofala	such as , Kilwa
,	as Sofala Kilwa ,
Kilwa	Sofala , , Mombasa
,	, Kilwa Mombasa ,
Mombasa	Kilwa , , and
,	, Mombasa and Zanzibar
and	Mombasa , Zanzibar .
Zanzibar	, and .
.	and Zanzibar
Early	cinema was
cinema	Early was inspired
was	Early cinema inspired by
inspired	cinema was by many
by	was inspired many aspects
many	inspired by aspects of
aspects	by many of horror
of	many aspects horror literature
horror	aspects of literature ,
literature	of horror , and
,	horror literature and early
and	literature , early horror
early	, and horror cinema
horror	and early cinema started
cinema	early horror started a
started	horror cinema a strong
a	cinema started strong tradition
strong	started a tradition of
tradition	a strong of horror
of	strong tradition horror films
horror	tradition of films and
films	of horror and subgenres
and	horror films subgenres based
subgenres	films and based on
based	and subgenres on horror
on	subgenres based horror fiction
horror	based on fiction that
fiction	on horror that continues
that	horror fiction continues to
continues	fiction that to this
to	that continues this day
this	continues to day .
day	to this .
.	this day
The	square root
square	The root function
root	The square function can
function	square root can be
can	root function be defined
be	function can defined as
defined	can be as and
as	be defined and is
and	defined as is therefore
is	as and therefore holomorphic
therefore	and is holomorphic wherever
holomorphic	is therefore wherever the
wherever	therefore holomorphic the logarithm
the	holomorphic wherever logarithm log
logarithm	wherever the log (
log	the logarithm ( z
(	logarithm log z )
z	log ( ) is
)	( z is .
is	z ) .
.	) is
Divisive	as the
as	Divisive the violence
the	Divisive as violence was
violence	as the was ,
was	the violence , it
,	violence was it was
it	was , was a
was	, it a debate
a	it was debate over
debate	was a over the
over	a debate the rule
the	debate over rule of
rule	over the of law
of	the rule law that
law	rule of that set
that	of law set off
set	law that off the
off	that set the party
the	set off party 's
party	off the 's final
's	the party final breakup
final	party 's breakup in
breakup	's final in November
in	final breakup November 2005
November	breakup in 2005 .
2005	in November .
.	November 2005
An	estimated 18
estimated	An 18 million
18	An estimated million people
million	estimated 18 people passed
people	18 million passed through
passed	million people through the
through	people passed the Gulag
the	passed through Gulag system
Gulag	through the system ,
system	the Gulag , and
,	Gulag system and perhaps
and	system , perhaps another
perhaps	, and another 15
another	and perhaps 15 million
15	perhaps another million had
million	another 15 had experience
had	15 million experience of
experience	million had of some
of	had experience some other
some	experience of other form
other	of some form of
form	some other of forced
of	other form forced labor
forced	form of labor .
labor	of forced .
.	forced labor
In	1964 Khrushchev
1964	In Khrushchev was
Khrushchev	In 1964 was impeached
was	1964 Khrushchev impeached by
impeached	Khrushchev was by the
by	was impeached the Communist
the	impeached by Communist Party
Communist	by the Party 's
Party	the Communist 's Central
's	Communist Party Central Committee
Central	Party 's Committee ,
Committee	's Central , charging
,	Central Committee charging him
charging	Committee , him with
him	, charging with a
with	charging him a host
a	him with host of
host	with a of errors
of	a host errors that
errors	host of that included
that	of errors included Soviet
included	errors that Soviet setbacks
Soviet	that included setbacks such
setbacks	included Soviet such as
such	Soviet setbacks as the
as	setbacks such the Cuban
the	such as Cuban Missile
Cuban	as the Missile Crisis
Missile	the Cuban Crisis .
Crisis	Cuban Missile .
.	Missile Crisis
The	native inhabitants
native	The inhabitants were
inhabitants	The native were persecuted
were	native inhabitants persecuted until
persecuted	inhabitants were until the
until	were persecuted the Frankish
the	persecuted until Frankish king
Frankish	until the king Clovis
king	the Frankish Clovis I
Clovis	Frankish king I converted
I	king Clovis converted from
converted	Clovis I from paganism
from	I converted paganism to
paganism	converted from to Roman
to	from paganism Roman Catholic
Roman	paganism to Catholic ism
Catholic	to Roman ism in
ism	Roman Catholic in 496
in	Catholic ism 496 .
496	ism in .
.	in 496
On	30 November
30	On November 1894
November	On 30 1894 ,
1894	30 November , Pope
,	November 1894 Pope Leo
Pope	1894 , Leo XIII
Leo	, Pope XIII published
XIII	Pope Leo published the
published	Leo XIII the Apostolic
the	XIII published Apostolic Letter
Apostolic	published the Letter Orientalium
Letter	the Apostolic Orientalium Dignitas
Orientalium	Apostolic Letter Dignitas (
Dignitas	Letter Orientalium ( On
(	Orientalium Dignitas On the
On	Dignitas ( the Churches
the	( On Churches of
Churches	On the of the
of	the Churches the East
the	Churches of East )
East	of the ) safeguarding
)	the East safeguarding the
safeguarding	East ) the importance
the	) safeguarding importance and
importance	safeguarding the and continuance
and	the importance continuance of
continuance	importance and of the
of	and continuance the Eastern
the	continuance of Eastern traditions
Eastern	of the traditions for
traditions	the Eastern for the
for	Eastern traditions the whole
the	traditions for whole Church
whole	for the Church .
Church	the whole .
.	whole Church
He	is gifted
is	He gifted in
gifted	He is in swimming
in	is gifted swimming ,
swimming	gifted in , archery
,	in swimming archery ,
archery	swimming , , fighting
,	, archery fighting and
fighting	archery , and music
and	, fighting music and
music	fighting and and Nanna
and	and music Nanna ,
Nanna	music and , daughter
,	and Nanna daughter of
daughter	Nanna , of King
of	, daughter King Gevarus
King	daughter of Gevarus falls
Gevarus	of King falls in
falls	King Gevarus in love
in	Gevarus falls love with
love	falls in with him
with	in love him .
him	love with .
.	with him
Thor	o in
o	Thor in particular
in	Thor o particular shatters
particular	o in shatters all
shatters	in particular all opposition
all	particular shatters opposition with
opposition	shatters all with his
with	all opposition his mighty
his	opposition with mighty club
mighty	with his club .
club	his mighty .
.	mighty club
Zaman	Khan and
Khan	Zaman and several
and	Zaman Khan several of
several	Khan and of his
of	and several his family
his	several of family members
family	of his members were
members	his family were killed
were	family members killed while
killed	members were while his
while	were killed his son
his	killed while son Ahmad
son	while his Ahmad Khan
Ahmad	his son Khan (
Khan	son Ahmad ( Durrani
(	Ahmad Khan Durrani )
Durrani	Khan ( ) and
)	( Durrani and Zulfiqar
and	Durrani ) Zulfiqar Khan
Zulfiqar	) and Khan were
Khan	and Zulfiqar were taken
were	Zulfiqar Khan taken as
taken	Khan were as prisoners
as	were taken prisoners to
prisoners	taken as to Kandahar
to	as prisoners Kandahar in
Kandahar	prisoners to in the
in	to Kandahar the south
the	Kandahar in south .
south	in the .
.	the south
Although	Herāt is
Herāt	Although is approximately
is	Although Herāt approximately lower
approximately	Herāt is lower than
lower	is approximately than Kandahar
than	approximately lower Kandahar ,
Kandahar	lower than , the
,	than Kandahar the summer
the	Kandahar , summer climate
summer	, the climate is
climate	the summer is more
is	summer climate more temperate
more	climate is temperate ,
temperate	is more , and
,	more temperate and the
and	temperate , the climate
the	, and climate throughout
climate	and the throughout the
throughout	the climate the year
the	climate throughout year is
year	throughout the is far
is	the year far from
far	year is from disagreeable
from	is far disagreeable .
disagreeable	far from .
.	from disagreeable
A	Norwegian skald
Norwegian	A skald ,
skald	A Norwegian , quoted
,	Norwegian skald quoted by
quoted	skald , by Snorri
by	, quoted Snorri Sturluson
Snorri	quoted by Sturluson ,
Sturluson	by Snorri , describes
,	Snorri Sturluson describes the
describes	Sturluson , the sack
the	, describes sack as
sack	describes the as follows
as	the sack follows :
follows	sack as : In
:	as follows In 1066
In	follows : 1066 the
1066	: In the town
the	In 1066 town was
town	1066 the was sacked
was	the town sacked and
sacked	town was and burned
and	was sacked burned by
burned	sacked and by East
by	and burned East Slavs
East	burned by Slavs .
Slavs	by East .
.	East Slavs
Hazāra	( )
(	Hazāra ) are
)	Hazāra ( are a
are	( ) a Persian-speaking
a	) are Persian-speaking people
Persian-speaking	are a people who
people	a Persian-speaking who mainly
who	Persian-speaking people mainly live
mainly	people who live in
live	who mainly in central
in	mainly live central Afghanistan
central	live in Afghanistan .
Afghanistan	in central .
.	central Afghanistan
They	are overwhelmingly
are	They overwhelmingly Twelver
overwhelmingly	They are Twelver Shia
Twelver	are overwhelmingly Shia Muslim
Shia	overwhelmingly Twelver Muslim s
Muslim	Twelver Shia s and
s	Shia Muslim and comprise
and	Muslim s comprise the
comprise	s and the third
the	and comprise third largest
third	comprise the largest ethnic
largest	the third ethnic group
ethnic	third largest group of
group	largest ethnic of Afghanistan
of	ethnic group Afghanistan ,
Afghanistan	group of , forming
,	of Afghanistan forming about
forming	Afghanistan , about 18
about	, forming 18 %
18	forming about % to
%	about 18 to 25
to	18 % 25 %
25	% to % of
%	to 25 of the
of	25 % the total
the	% of total population
total	of the population .
population	the total .
.	total population
Many	young Hazara
young	Many Hazara are
Hazara	Many young are studying
are	young Hazara studying in
studying	Hazara are in developed
in	are studying developed countries
developed	studying in countries such
countries	in developed such as
such	developed countries as Australia
as	countries such Australia ,
Australia	such as , legally
,	as Australia legally through
legally	Australia , through education
through	, legally education or
education	legally through or work
or	through education work visas
work	education or visas .
visas	or work .
.	work visas
Haider	Ali Karmal
Ali	Haider Karmal Jaghori
Karmal	Haider Ali Jaghori was
Jaghori	Ali Karmal was a
was	Karmal Jaghori a prominent
a	Jaghori was prominent political
prominent	was a political thinker
political	a prominent thinker of
thinker	prominent political of the
of	political thinker the Hazara
the	thinker of Hazara people
Hazara	of the people in
people	the Hazara in Pakistan
in	Hazara people Pakistan writing
Pakistan	people in writing about
writing	in Pakistan about the
about	Pakistan writing the political
the	writing about political history
political	about the history of
history	the political of Hazara
of	political history Hazara people
Hazara	history of people .
people	of Hazara .
.	Hazara people
This	is a
is	This a version
a	This is version by
version	is a by composer
by	a version composer Dario
composer	version by Dario Marianelli
Dario	by composer Marianelli of
Marianelli	composer Dario of Purcell
of	Dario Marianelli Purcell 's
Purcell	Marianelli of 's Abdelazar
's	of Purcell Abdelazar theme
Abdelazar	Purcell 's theme .
theme	's Abdelazar .
.	Abdelazar theme
Riders	of Indian
of	Riders Indian motorcycles
Indian	Riders of motorcycles derisively
motorcycles	of Indian derisively referred
derisively	Indian motorcycles referred to
referred	motorcycles derisively to this
to	derisively referred this model
this	referred to model as
model	to this as the
as	"this model the """
the	"model as "" three"
""""	as the three cylinder
three	"the "" cylinder Harley"
cylinder	""" three Harley """
Harley	"three cylinder "" because"
""""	cylinder Harley because the
because	"Harley "" the generator"
the	""" because generator was"
generator	because the was upright
was	the generator upright and
upright	generator was and parallel
and	was upright parallel to
parallel	upright and to the
to	and parallel the front
the	parallel to front cylinder
front	to the cylinder .
cylinder	the front .
.	front cylinder
However	, the
,	However the company
the	However , company did
company	, the did offer
did	the company offer to
offer	company did to drop
to	did offer drop the
drop	offer to the request
the	to drop request for
request	drop the for the
for	the request the tariff
the	request for tariff in
tariff	for the in exchange
in	the tariff exchange for
exchange	tariff in for loan
for	in exchange loan guarantees
loan	exchange for guarantees from
guarantees	for loan from the
from	loan guarantees the Japanese
the	guarantees from Japanese .
Japanese	from the .
.	the Japanese
Bob	= Yes
=	Bob Yes ,
Yes	Bob = , I
,	= Yes I did
I	Yes , did .
did	, I .
.	I did
The	pattern (
pattern	The ( also
(	The pattern also known
also	pattern ( known as
known	( also as the
as	also known the Phalaecian
the	known as Phalaecian )
Phalaecian	as the ) is
)	the Phalaecian is as
is	Phalaecian ) as follows
as	) is follows (
follows	is as ( using
(	"as follows using """
using	"follows ( "" -"
""""	"( using - """
-	"using "" "" for"
""""	""" - for a"
for	"- "" a long"
a	""" for long syllable"
long	for a syllable ,
syllable	"a long , """
,	"long syllable "" u"
""""	"syllable , u """
u	", "" "" for"
""""	""" u for a"
for	"u "" a short"
a	""" for short and"
short	"for a and """
and	"a short "" x"
""""	"short and x """
x	"and "" "" for"
""""	""" x for an"
for	"x "" an """
an	""" for "" anceps"
""""	"for an anceps """
anceps	"an "" "" or"
""""	""" anceps or variable"
or	"anceps "" variable syllable"
variable	""" or syllable )"
syllable	or variable ) :
)	variable syllable : x
:	syllable ) x x
x	) : x -
x	: x - u
-	x x u u
u	x - u -
u	- u - u
-	u u u -
u	u - - u
-	- u u -
u	u - - -
-	- u - (
-	u - ( where
(	- - where x
where	- ( x x
x	( where x is
x	where x is either
is	x x either -
either	x is - u
-	is either u or
u	either - or -
or	- u - -
-	u or - or
-	or - or u
or	- - u -
u	- or - )
-	or u ) Another
)	u - Another form
Another	- ) form of
form	) Another of hendecasyllabic
of	Another form hendecasyllabic verse
hendecasyllabic	form of verse is
verse	of hendecasyllabic is the
is	"hendecasyllabic verse the """
the	"verse is "" Sapphic"
""""	"is the Sapphic """
Sapphic	"the "" "" ("
""""	""" Sapphic ( so"
(	"Sapphic "" so named"
so	""" ( named for"
named	( so for its
for	so named its use
its	named for use in
use	for its in the
in	its use the Sapphic
the	use in Sapphic stanza
Sapphic	in the stanza )
stanza	the Sapphic ) ,
)	Sapphic stanza , with
,	stanza ) with the
with	) , the pattern
the	, with pattern :
pattern	with the : -
:	the pattern - x
-	pattern : x -
x	: - - x
-	- x x -
x	x - - u
-	- x u u
u	x - u -
u	- u - u
-	u u u -
u	u - - -
-	"- u - """
-	"u - "" The"
""""	- - The hendecasyllabic
The	"- "" hendecasyllabic offers"
hendecasyllabic	""" The offers the"
offers	The hendecasyllabic the opportunity
the	hendecasyllabic offers opportunity to
opportunity	offers the to maintain
to	the opportunity maintain the
maintain	opportunity to the basic
the	to maintain basic sapphic
basic	maintain the sapphic rhythm
sapphic	the basic rhythm for
rhythm	basic sapphic for a
for	sapphic rhythm a long
a	rhythm for long period
long	for a period ,
period	a long , building
,	long period building up
building	period , up momentum
up	, building momentum .
momentum	"building up . """
.	"up momentum """
""""	momentum .
Norse	control of
control	Norse of the
